cycle,range_bin,doppler_bin,output_hex
1036005000,0,0,ff9d0008
1036015000,0,1,00190006
1036025000,0,2,006700fe
1036035000,0,3,003afd19
1036045000,0,4,ff0503de
1036055000,0,5,0103fa24
1036065000,0,6,ff3706cf
1036075000,0,7,0061fd7d
1036085000,0,8,ffc7fc5c
1036095000,0,9,fffd02d2
1036105000,0,10,00c3019a
1036115000,0,11,fc8afebf
1036125000,0,12,0453feea
1036135000,0,13,fe2301ac
1036145000,0,14,ffbbff5d
1036155000,0,15,00c70013
1038035000,0,16,000fffea
1038045000,0,17,009f011d
1038055000,0,18,fdfefe1b
1038065000,0,19,015b0103
1038075000,0,20,019affdb
1038085000,0,21,fffffeb2
1038095000,0,22,fc0802dc
1038105000,0,23,031dfe3b
1038115000,0,24,005b011a
1038125000,0,25,fcef00c3
1038135000,0,26,0068fdd9
1038145000,0,27,01130195
1038155000,0,28,fffcfd95
1038165000,0,29,ffa301e2
1038175000,0,30,ff9affac
1038185000,0,31,000dff79
1040065000,1,0,ff9a0022
1040075000,1,1,0048001c
1040085000,1,2,004affe9
1040095000,1,3,ff00ff32
1040105000,1,4,004700c7
1040115000,1,5,006d0040
1040125000,1,6,002efffa
1040135000,1,7,fe5d01d9
1040145000,1,8,0232fbb6
1040155000,1,9,fee60370
1040165000,1,10,037cff49
1040175000,1,11,f958ffc2
1040185000,1,12,0555fe61
1040195000,1,13,fe1d0210
1040205000,1,14,fffcff14
1040215000,1,15,003b0017
1042095000,1,16,ffedfff5
1042105000,1,17,007b00ba
1042115000,1,18,feb3ff31
1042125000,1,19,ffc9ff74
1042135000,1,20,0213ff77
1042145000,1,21,01180003
1042155000,1,22,ff0f0361
1042165000,1,23,fddafc7f
1042175000,1,24,015f01fd
1042185000,1,25,fe030068
1042195000,1,26,01f5fc33
1042205000,1,27,00bd0544
1042215000,1,28,fec9f9e3
1042225000,1,29,003e03e7
1042235000,1,30,fff9fe7f
1042245000,1,31,0074002d
1044125000,2,0,ff76ffe3
1044135000,2,1,005aff19
1044145000,2,2,ff3801f2
1044155000,2,3,0031fd3c
1044165000,2,4,016e02cb
1044175000,2,5,fe5efdca
1044185000,2,6,00b70198
1044195000,2,7,ff82ffdf
1044205000,2,8,0028fbbb
1044215000,2,9,003805d7
1044225000,2,10,ff6efece
1044235000,2,11,fee7fe7c
1044245000,2,12,02c0fffb
1044255000,2,13,ff2c018a
1044265000,2,14,fe7ffedc
1044275000,2,15,01a2008d
1046155000,2,16,00310046
1046165000,2,17,001f0025
1046175000,2,18,ff4dfebe
1046185000,2,19,ffa20208
1046195000,2,20,0192fd29
1046205000,2,21,ffb2031f
1046215000,2,22,027ffdb0
1046225000,2,23,fae503e7
1046235000,2,24,0049fd30
1046245000,2,25,02fb0081
1046255000,2,26,fd7f024a
1046265000,2,27,0284fd3e
1046275000,2,28,fe6000d9
1046285000,2,29,0044ffab
1046295000,2,30,00810120
1046305000,2,31,ff5dff53
1048185000,3,0,ffe9ff7c
1048195000,3,1,00d4001b
1048205000,3,2,fe1200af
1048215000,3,3,01c5fe95
1048225000,3,4,ffc300f7
1048235000,3,5,fff5ffa7
1048245000,3,6,fe5d004d
1048255000,3,7,02b6ffcc
1048265000,3,8,feabff64
1048275000,3,9,fc3600c5
1048285000,3,10,06c00011
1048295000,3,11,fbef0133
1048305000,3,12,0139ff51
1048315000,3,13,ffbdfe5d
1048325000,3,14,00c10123
1048335000,3,15,ff5a0030
1050215000,3,16,0078007a
1050225000,3,17,ff54004b
1050235000,3,18,004dfe5e
1050245000,3,19,002c01be
1050255000,3,20,001ffed0
1050265000,3,21,ff4dff7f
1050275000,3,22,029601e7
1050285000,3,23,fe22008d
1050295000,3,24,fff6ffb0
1050305000,3,25,fdac0069
1050315000,3,26,034dfc9c
1050325000,3,27,fe22048e
1050335000,3,28,00ebfbb6
1050345000,3,29,00930379
1050355000,3,30,ff80fe3f
1050365000,3,31,0008fffb
1052245000,4,0,00090055
1052255000,4,1,fed6ff7d
1052265000,4,2,02ea0177
1052275000,4,3,fc98fe3e
1052285000,4,4,01c6ff82
1052295000,4,5,ff840121
1052305000,4,6,00c801f0
1052315000,4,7,fc76fe48
1052325000,4,8,051ffe93
1052335000,4,9,fd8a023d
1052345000,4,10,00acff4d
1052355000,4,11,feca0192
1052365000,4,12,0202fc6a
1052375000,4,13,fecc01e5
1052385000,4,14,00220048
1052395000,4,15,0008ff58
1054275000,4,16,0038004e
1054285000,4,17,ff73007e
1054295000,4,18,ff4dfdc6
1054305000,4,19,01cb0104
1054315000,4,20,008e01f8
1054325000,4,21,ffb0fcda
1054335000,4,22,fee401ae
1054345000,4,23,001e00db
1054355000,4,24,001eff5c
1054365000,4,25,ffaf01da
1054375000,4,26,ff65fb78
1054385000,4,27,00d304ea
1054395000,4,28,0028f9da
1054405000,4,29,006e03fe
1054415000,4,30,ff5efef8
1054425000,4,31,0064ffa7
1056305000,5,0,ffc4fffe
1056315000,5,1,0090009b
1056325000,5,2,ff81ffa5
1056335000,5,3,0183ff12
1056345000,5,4,fd070113
1056355000,5,5,036efef1
1056365000,5,6,fb49019a
1056375000,5,7,05a100f5
1056385000,5,8,fb62fac4
1056395000,5,9,03a2054b
1056405000,5,10,fe5bff89
1056415000,5,11,fe57fd14
1056425000,5,12,033b019b
1056435000,5,13,fe38ffdd
1056445000,5,14,fffb0058
1056455000,5,15,0025ffa1
1058335000,5,16,ffd4ffe1
1058345000,5,17,00300075
1058355000,5,18,ff84fe68
1058365000,5,19,00770219
1058375000,5,20,ff71fe89
1058385000,5,21,0154fdea
1058395000,5,22,ff34036b
1058405000,5,23,fecc0042
1058415000,5,24,00d0fda3
1058425000,5,25,01ca02bd
1058435000,5,26,fe70fe34
1058445000,5,27,ffa3024d
1058455000,5,28,fea3fbdf
1058465000,5,29,020e021c
1058475000,5,30,ffd0ffb5
1058485000,5,31,ffceffd8
1060365000,6,0,00160022
1060375000,6,1,00290022
1060385000,6,2,fe54ffee
1060395000,6,3,0253fe88
1060405000,6,4,ffdb03f9
1060415000,6,5,ff30fc17
1060425000,6,6,fe6d01a4
1060435000,6,7,041fff17
1060445000,6,8,fb5e00c0
1060455000,6,9,03b10014
1060465000,6,10,fe20005c
1060475000,6,11,ff8bfe32
1060485000,6,12,013902c1
1060495000,6,13,005afdd3
1060505000,6,14,ff27007e
1060515000,6,15,000f0007
1062395000,6,16,0057ffe3
1062405000,6,17,0092ffa5
1062415000,6,18,ff95fff6
1062425000,6,19,0009011d
1062435000,6,20,00cfff9b
1062445000,6,21,ff0f0041
1062455000,6,22,fd58fe55
1062465000,6,23,0454ff5f
1062475000,6,24,fca70029
1062485000,6,25,05460363
1062495000,6,26,fa6bfe4a
1062505000,6,27,03c9fd57
1062515000,6,28,ffb702a5
1062525000,6,29,fef1ff93
1062535000,6,30,0144ffcf
1062545000,6,31,fef2ffd1
